Trade Date,Position,Exit_Date,ret%,duration,dd_overall%,dd_trade%,dd_cumulative%
2000-05-19,-1.0,2000-05-24,4.936485918211342,4.0,-4.9511449327189965,-4.950838282573021,-4.9511449327189965
2000-05-25,1.0,2000-07-27,13.41861645641158,44.0,-4.7527570480016035,-9.70469596083635,-9.7039019807206
2000-07-28,-1.0,2000-08-01,4.585056141871902,3.0,2.973201866371425,-2.7102107906341733,-6.730700114349175
2000-08-02,1.0,2000-09-12,4.381440195784503,29.0,-5.398166884228102,-10.961127560593937,-10.961942076845045
2000-09-13,-1.0,2000-09-21,1.4652355372555714,7.0,-5.3943473361441505,-5.242864592438639,-16.356289412989195
2000-09-22,1.0,2000-09-29,1.3652485025623884,6.0,1.2334020201997975,-4.586120345765222,-8.423922790272991
2000-10-02,-1.0,2000-10-04,6.860610582737059,3.0,5.1218751406872185,-1.6842810301716618,-3.302047649585773
2000-10-05,1.0,2000-10-20,1.6050560021662497,12.0,-11.314958232481827,-12.514496153105023,-13.456202978448841
2000-10-23,0.0,2000-10-23,-0.16476776594419595,1.0,-0.16382767205184037,0.0,-0.7343845931687768
2000-10-24,-1.0,2000-11-02,5.127872864165162,8.0,-4.72640093961618,-5.539776287846037,-5.460785532784957
2000-11-03,0.0,2000-11-08,-0.9838618163026669,4.0,-0.9301352325754138,0.0,-6.390920765360371
2000-11-09,-1.0,2000-12-01,14.180387510680292,16.0,-3.2643574059190503,-7.1472151726887905,-9.65527817127942
2000-12-04,1.0,2000-12-05,10.046697271644621,2.0,1.1731527948123452,0.0,-0.0411183148631676
2000-12-06,-1.0,2000-12-08,3.4965293053125013,3.0,-2.009079465491504,-2.008978990170894,-2.009079465491504
2000-12-11,1.0,2000-12-13,-9.739759256720781,3.0,-9.544079753505711,-7.715626626230092,-11.553159218997216
2000-12-14,-1.0,2000-12-21,17.757683115227675,6.0,3.724195936124762,-0.4037881995659109,-7.828963282872453
2000-12-22,1.0,2001-01-08,-2.372297893655828,10.0,-12.793596905365574,-13.269448242133725,-13.197400014630126
2001-01-09,-1.0,2001-01-09,1.7062963646082618,1.0,1.5645380337761319,0.0,-6.743416772461612
